trade_id,settlement_date,trade_time,trade_type,bond_type,bond_name,seller,seller_trader,buyer,buyer_trader,net_price,yield_rate,nominal_amount,settlement_amount,trade_date
TR628536,2023-03-01,2023-03-01 13:24:31,RFQ,国债,债券C,机构C,交易员1,机构B,交易员1,99.61,2.56,3097,3084.92,2023-03-01
TR146183,2023-09-12,2023-09-12 16:06:33,Negotiate,国债,债券B,机构C,交易员5,机构B,交易员1,100.36,3.28,4965,4982.87,2023-09-12
TR492306,2023-11-03,2023-11-03 11:26:42,RFQ,政策性金融债,债券C,机构D,交易员5,机构A,交易员1,95.99,4.68,8169,7841.42,2023-11-03
TR489665,2023-08-10,2023-08-10 15:23:47,RFQ,企业债,债券D,机构A,交易员2,机构B,交易员4,104.83,3.88,4551,4770.81,2023-08-10
TR182537,2023-08-24,2023-08-24 16:04:40,RFQ,企业债,债券A,机构D,交易员3,机构E,交易员3,104.49,3.06,5180,5412.58,2023-08-24
TR681834,2023-07-17,2023-07-17 14:06:47,Negotiate,企业债,债券C,机构B,交易员2,机构E,交易员1,102.78,2.54,5899,6062.99,2023-07-17
TR801878,2023-08-10,2023-08-10 11:02:25,RFQ,企业债,债券E,机构D,交易员4,机构E,交易员5,95.32,4.5,5649,5384.63,2023-08-10
TR973749,2023-04-08,2023-04-08 09:35:11,RFQ,政策性金融债,债券C,机构B,交易员4,机构E,交易员3,101.11,4.29,5185,5242.55,2023-04-08
TR591559,2023-02-19,2023-02-19 10:50:12,RFQ,国债,债券A,机构E,交易员3,机构D,交易员5,95.18,2.63,6127,5831.68,2023-02-19
TR387614,2023-01-23,2023-01-23 11:59:53,RFQ,国债,债券B,机构C,交易员4,机构A,交易员4,102.28,4.52,2445,2500.75,2023-01-23
TR447031,2023-06-17,2023-06-17 11:05:38,Negotiate,政策性金融债,债券E,机构D,交易员5,机构C,交易员1,103.72,2.57,2283,2367.93,2023-06-17
TR878538,2023-07-07,2023-07-07 13:24:10,Negotiate,企业债,债券C,机构C,交易员4,机构E,交易员1,98.1,3.56,1662,1630.42,2023-07-07
TR253277,2023-11-27,2023-11-27 13:28:17,RFQ,政策性金融债,债券E,机构D,交易员1,机构C,交易员2,98.42,2.85,2742,2698.68,2023-11-27
TR163479,2023-12-09,2023-12-09 11:47:38,Negotiate,国债,债券A,机构B,交易员1,机构A,交易员4,103.91,4.33,5450,5663.1,2023-12-09
TR435902,2023-04-27,2023-04-27 13:36:22,RFQ,政策性金融债,债券B,机构A,交易员3,机构D,交易员4,95.86,4.86,2732,2618.9,2023-04-27
TR836712,2023-12-18,2023-12-18 09:41:27,Negotiate,企业债,债券B,机构E,交易员1,机构D,交易员5,96.84,4.77,3975,3849.39,2023-12-18
TR320661,2023-12-27,2023-12-27 12:09:34,RFQ,企业债,债券E,机构C,交易员4,机构E,交易员1,104.94,4.85,6007,6303.75,2023-12-27
TR205266,2023-07-16,2023-07-16 13:19:33,RFQ,政策性金融债,债券E,机构B,交易员5,机构D,交易员1,96.87,4.78,7296,7067.64,2023-07-16
TR501903,2023-08-23,2023-08-23 10:52:19,RFQ,政策性金融债,债券B,机构A,交易员1,机构D,交易员4,103.0,3.01,8448,8701.44,2023-08-23
TR888599,2023-04-21,2023-04-21 16:59:03,Negotiate,企业债,债券C,机构A,交易员2,机构B,交易员3,97.21,3.78,2025,1968.5,2023-04-21
TR293824,2023-07-02,2023-07-02 13:22:54,Negotiate,国债,债券C,机构A,交易员4,机构C,交易员5,101.14,4.38,5133,5191.52,2023-07-02
TR475271,2023-03-18,2023-03-18 16:45:24,RFQ,政策性金融债,债券A,机构E,交易员4,机构D,交易员5,97.43,2.77,5557,5414.19,2023-03-18
TR287797,2023-06-12,2023-06-12 13:51:15,Negotiate,企业债,债券B,机构A,交易员3,机构E,交易员1,95.0,3.5,5588,5308.6,2023-06-12
TR295373,2023-01-27,2023-01-27 12:11:57,RFQ,企业债,债券B,机构E,交易员3,机构B,交易员5,100.98,3.93,7892,7969.34,2023-01-27
TR895543,2023-03-05,2023-03-05 14:05:18,Negotiate,国债,债券C,机构B,交易员2,机构D,交易员1,97.86,3.9,4754,4652.26,2023-03-05
TR729387,2023-05-31,2023-05-31 13:22:20,RFQ,国债,债券D,机构D,交易员3,机构E,交易员1,97.37,4.17,8995,8758.43,2023-05-31
TR430419,2023-10-07,2023-10-07 11:21:45,Negotiate,国债,债券B,机构B,交易员4,机构A,交易员2,101.56,3.11,9006,9146.49,2023-10-07
TR882871,2023-02-14,2023-02-14 09:06:06,RFQ,国债,债券A,机构C,交易员1,机构D,交易员4,99.04,4.35,9425,9334.52,2023-02-14
TR332588,2023-06-18,2023-06-18 10:58:46,RFQ,国债,债券C,机构B,交易员3,机构E,交易员1,96.41,3.39,1835,1769.12,2023-06-18
TR276286,2023-09-03,2023-09-03 15:29:10,RFQ,国债,债券B,机构A,交易员5,机构E,交易员3,103.78,2.72,8182,8491.28,2023-09-03
TR796425,2023-06-24,2023-06-24 16:43:45,Negotiate,企业债,债券D,机构E,交易员2,机构C,交易员4,104.08,3.29,7297,7594.72,2023-06-24
TR124572,2023-03-14,2023-03-14 15:13:33,RFQ,政策性金融债,债券D,机构D,交易员5,机构A,交易员1,103.86,3.87,8833,9173.95,2023-03-14
TR991572,2023-08-30,2023-08-30 12:27:43,Negotiate,企业债,债券B,机构C,交易员2,机构A,交易员3,104.19,4.91,9395,9788.65,2023-08-30
TR348424,2023-08-18,2023-08-18 14:58:19,RFQ,企业债,债券A,机构B,交易员1,机构D,交易员3,103.82,2.9,4570,4744.57,2023-08-18
TR214363,2023-04-17,2023-04-17 16:43:14,RFQ,国债,债券B,机构E,交易员2,机构B,交易员1,95.26,2.92,6836,6511.97,2023-04-17
TR495706,2023-06-27,2023-06-27 13:56:39,RFQ,国债,债券E,机构C,交易员2,机构B,交易员4,102.78,3.89,6636,6820.48,2023-06-27
TR430138,2023-01-03,2023-01-03 15:30:50,Negotiate,企业债,债券D,机构C,交易员5,机构D,交易员1,101.24,4.71,4662,4719.81,2023-01-03
TR957995,2023-12-30,2023-12-30 12:15:21,Negotiate,国债,债券B,机构A,交易员4,机构C,交易员4,101.87,4.55,6733,6858.91,2023-12-30
TR870338,2023-05-20,2023-05-20 10:10:32,RFQ,政策性金融债,债券C,机构A,交易员3,机构D,交易员2,100.55,4.42,9298,9349.14,2023-05-20
TR142737,2023-03-19,2023-03-19 12:22:05,Negotiate,政策性金融债,债券A,机构C,交易员3,机构E,交易员4,96.65,4.64,8214,7938.83,2023-03-19
TR868335,2023-09-26,2023-09-26 15:08:04,RFQ,企业债,债券A,机构C,交易员1,机构B,交易员1,100.01,3.76,1950,1950.19,2023-09-26
TR128689,2023-05-11,2023-05-11 15:36:43,RFQ,企业债,债券C,机构E,交易员3,机构C,交易员5,99.84,4.57,4082,4075.47,2023-05-11
TR328821,2023-12-05,2023-12-05 14:23:49,RFQ,国债,债券B,机构C,交易员1,机构A,交易员1,103.77,2.52,8375,8690.74,2023-12-05
TR392541,2023-07-03,2023-07-03 12:49:05,Negotiate,政策性金融债,债券D,机构E,交易员1,机构B,交易员2,95.29,4.07,7870,7499.32,2023-07-03
TR695704,2023-04-12,2023-04-12 13:32:41,RFQ,政策性金融债,债券C,机构C,交易员1,机构A,交易员2,104.53,4.87,1090,1139.38,2023-04-12
TR169993,2023-07-10,2023-07-10 11:17:43,Negotiate,政策性金融债,债券D,机构B,交易员5,机构E,交易员5,96.87,4.94,4724,4576.14,2023-07-10
TR228442,2023-12-30,2023-12-30 09:19:08,RFQ,国债,债券C,机构E,交易员5,机构A,交易员1,95.32,4.57,6437,6135.75,2023-12-30
TR876373,2023-03-18,2023-03-18 13:31:16,Negotiate,政策性金融债,债券A,机构D,交易员4,机构B,交易员3,100.14,2.98,4954,4960.94,2023-03-18
TR795624,2023-03-05,2023-03-05 10:58:17,RFQ,国债,债券A,机构D,交易员4,机构B,交易员2,101.11,4.36,4832,4885.64,2023-03-05
TR392922,2023-02-12,2023-02-12 14:14:55,RFQ,国债,债券C,机构A,交易员4,机构C,交易员1,104.93,3.97,7496,7865.55,2023-02-12
TR387894,2023-01-01,2023-01-01 09:17:48,Negotiate,企业债,债券A,机构E,交易员2,机构B,交易员4,98.5,4.43,6191,6098.14,2023-01-01
TR129890,2023-09-12,2023-09-12 13:15:47,RFQ,企业债,债券B,机构E,交易员5,机构C,交易员2,95.01,3.02,1729,1642.72,2023-09-12
TR355469,2023-10-06,2023-10-06 13:53:31,RFQ,国债,债券A,机构D,交易员2,机构A,交易员2,96.4,4.06,1387,1337.07,2023-10-06
TR223169,2023-03-05,2023-03-05 14:33:09,RFQ,国债,债券A,机构E,交易员5,机构C,交易员3,101.64,3.47,9906,10068.46,2023-03-05
TR877517,2023-08-26,2023-08-26 10:28:57,Negotiate,国债,债券D,机构B,交易员1,机构A,交易员4,103.49,4.64,2180,2256.08,2023-08-26
